task_language;rider_ml_message
"""es""";"""Pero y yo donde quedo, su conductor es problema de ustedes. Mi problema es que su conductor me trato mal y me cobro de más. No se si eso quedo claro hasta este punto"""
"""en""";"""the driver took cash at the end, but the money was withdrawn from the card and has not been refunded for some reason"""
"""ru""";"""здравствуйте, водителя не было на месте и он не брал трубку, сделайте пожалуйста возврат денежных средств"""
"""hy""";"""Բարև Ձեզ, շատ կներեք, բայց հիմա էլ վարորդը զանգահարեց ասաց, որ տեղում է, մեքենան չկա, ինքն էլ զանգերը անջատում է, ես չեղարկեցի և 500դրամ գումար պահեց։"""
"""es""";"""Hola por qué me cobraron si yo pagué en efectivo"""
"""en""";"""Hello, i booked taxi for 11,500 sum and the driver took 20,000 sum from me"""
"""en""";"""basically my card had no money and then i got money in it but i made it pay by points and now im in debt but i used points please fix this issue"""
"""ru""";"""Здравствуйте, водителя нет на месте и не могу до него дозвониться"""
"""ru""";"""Здравствуйте, водителя по указанноой точке не было Сообщения игнорировал и убрал ожидание, звонок сбросил  Отмените оплату пожалуйста"""
"""uz""";"""Salom"""
"""fr""";"""J'ai commandé pharmacie zone industrielle Micao et il m'envoie au sable"""
"""ka""";"""რა ვერ მოხვედი 40 წუთი გეელოდები"""
"""ru""";"""Здравствуйте, возможно я в этот день забыла свой крем для лица в машине, можно спросить водителя?"""
"""hy""";"""Բարև ձեզ,  ես մի երեք օր առաջ ձեր մեքենայով երորդ մասից գնացել եմ բյուզանդ, ուղակի ուզում էի իմանալ կարողա ձեր ադտոյում ջամացույց ե՞մ թողել, ոսկեգույն գույնի"""
"""ru""";"""Здравствуйте, вы могли бы проверить очки в машине солнечные очки солнечные остались в машине . Можете связаться с водителем и ответить мне. Дорогие бренд очки"""
"""fr""";"""Bonsoir. S'il vous plaît, un partenaire yango qui est dans le VTC peut-il faire de la Yango delivery sans constituer une nouvelle société?"""
"""uz""";"""Buni qanday ishlataman"""
"""uz""";"""Politsiyaga murojat qildim siz sxema buyicha uwa kungi vaditilni yunaliwini va qilgan iwini malumotlarini Ochiq oydin yuboring manga"""
"""ru""";"""Здравствуйте, вы не могли бы передать водителю Никитину Олегу Владимировичу, что он приглянулся моей свекрови, и видимо оба постеснялись и не взяли друг у друга номер 😃 Кхе кхе ))) можно его номер ?)  Не знаем как с ним связаться Без шуток * Наш крайний заказ (в заказах)"""
"""ka""";"""გამარჯიბა ტაქსი რომმოვიდა ადგილზე ვიყავი და ველოდებოდი ჩავჯეკი დავიწყეთ მგზავრობა და რამდენიმე წუთის გასვლის შემდეგ ესე 3-4 მეუბნება რომ ლოდინის რეჯიმი დარჩა ჩართული და ისე მივყავდი ლოკაციაზე რამდენი დაემატა ლოდინის რეჟიმს ვერ ვნახულობ"""
"""uz""";"""Assalomu alaykum. Okajon ming bor uzur boya vaziyat o’zgarib qolib sizzi atmen qilishga majbur bo’pqoldim. Ovora qilgan bo’lsam uzur."""
"""fr""";"""J’ai commander un taxi mais le chauffeur m’a dis d’annuler sans raison"""
"""uz""";"""Haydovchi Juda qopol ravshida gaprdi"""
"""es""";"""Buenas tardes"""
"""he""";"""שלום אני רוצה להתלונן על הנהג שהיה אמור לקחת אותי עכשיו."""
"""fr""";"""J’ai un problème avec cette course Le conducteur n’es pas là vous pouvez annuler"""
"""en""";"""I have noticed it out that, i stopped at Pharmacy to take medicines and then when i was backand our ride was started again  but the driver didn't stopped the waiting machine"""
"""ka""";"""მოგესალმებით,ამ დილით ვიმგზავრე თქვენი ტაქსით.ვინაიდან არ მქონდა ინტერნეტი გადავიხადე ნაღდი ანგარიშსწორწბით.გთხოვთ გაარკვიოთ და გამიუქმოთ დავალიანება"""
"""en""";"""Driver wanted more money even before ride was over"""
"""uz""";"""Ассалому алейкум ожидания натогри йокилди текшириб беринг"""
"""ru""";"""Здравствуйте, вызвал водителя на место, он поехал не на тот адрес прибытия, постоял там пару минут и уехал без меня"""
"""ka""";"""უფრო ადრე რომ მოხერხდეს ეს ყველაფწრი ვერა? თვითინ რომ დაუკავშირდეთ"""
"""ar""";"""Assalamu alaikum"""
"""en""";"""Moje es rider ka number chahyie Reply kro"""
"""en""";"""You didn't get  it bro First there was glitch Location was incorrect"""
"""ru""";"""Здравствуйте, деньги списались поездки не было"""
"""ru""";"""Здравствуйте, детом лечу в Узбекистан, смогу ли я там оплачивать заказы русской картой?"""
"""fr""";"""Conducteur très imprudent et impoli. Pas du tout concentré. Ne m'a pas aidé à mettre les courses dans le coffre ni à les descendre. Arrivé à la maison je demande à ce qu'il recule la voiture pour que ça m'aide à descendre les courses devant chez. En reculant il a failli me renverser. C'est parce que j'ai tapé sur le capot qu'il a arrêté de rouler"""
"""ru""";"""Здравствуйте, добрый день. Я взял такси, но такси нет на месте отправления, хотя на карте показано, что оно прибыло. Теперь такси само отменилось, и деньги были списаны с моего счета."""
"""az""";"""Sizin təəssüf hissiniz sizcə mənim problemimi həll edir? Bəlkə elə kartda olan ən son məbləğ odur? Bu haqqı sizə kil verir ki, eyni şəxs 2 qat ödəniş etsin."""
"""az""";"""salam bu adam gəlib catib məni unvan dan kucəyə cixartdirib cixib gedir"""
"""es""";"""Per le estoy diciendo las razones"""
"""az""";"""salam, mən +994509919995 nömrəli telefon nömrəsiylə yango taksi sifarişxidmətində qeydiyyatdan keçmişəm. 12 may 14:50 də taksi sifariş etdim.adətən sifarişlərimi kartla etdiyimə görə avtomatik olaraq kart ödənişüsülü seçili qalaraq sifariş verilmişdi. lakin kartımda pul olmadığınıgördüm. sürücünüz də gedişi başlatdığına görə mən kart ödənişini nağdaçevirə bilmədim. sürücü mənə dedi ki, siz ödənişi nağd şəkildə mənə verinmən öz proqramım üzərindən sizin gedişinizi nağd ödəniş üsulunaçevirəcəyəm. mən də ödənişi nağd şəkildə 9.2 olan yola 10 azn ödəniş etdim.lakin sürücü mənə qarşı fırıldağlığ edib və ödənişi nağda çevirməyib, ya daelə birşey mümkün olmayıb ama mənə yalan danışıb məndən 10 manat ödənişalıb. bu gün kartıma 9 manat pul atmışam evimə çörəy sok alacam, mənimkartımdan yango pul çıxıt. baxıram ki ödənişini etdiyim yola 2ci dəfəödəniş çıxılır. i̇nsafınız olsun, vicdanınız olsun. mənim ödənişimi geriqaytarın mənim yolpulum, çörək pulum yoxdur. mən fakt ödənişini etdiyimyola 2 ci dəfə ödəniş necə çıxa bilərsiz. sizin sürücünüz mənə qarşıfırıldaqlıq etdi. xaiş edirəm mənim pulumu geri qaytarın. ödəniş bu günçıxıb, 14 may 16:09 da. kart nömrəsi: 523915******7244[created via e-mail received from: sa1suleymanoff@gmail.com]"""
"""uz""";"""Taksi meni olib kitmadi"""
"""ru""";"""Здравствуйте, ещё раз! Жду обратную связь. Водитель забрал меня, несмотря на неудобную точку, указанную приложением, но после этого начал разговаривать агрессивно и грубо, провоцировал конфликт и вел себя непрофессионально. Поездка вызвала дискомфорт, прошу обратить внимание на поведение водителя."""
"""uz""";"""Хайрли кеч"""
"""es""";"""Buenas tardes Ya cancele el viaje"""
"""sr""";"""Zdravo, u ponedeljak oko 2 ujutru sam se vozila belom Škoda Octavia. Kako mogu da proverim da nije ostala narukvica u vozilu?"""
"""uz""";"""Moshina oldimga kemadi juda kop kutirdi zapravkadaman deb aldadi oldimga kemasdan otmen qilib yubordi chora korilsa bunaqa shopirla kamaysin"""
"""ru""";"""Здравствуйте, ждала 10 минут, хотя ожидание стояло 1 минуту опаздываю за ребенком, просто взял и проехал мимо, уехал, не сообщив, ничего, просто проигнорировал"""
"""pt""";"""Muito obrigada 🙏"""
"""es""";"""Cancele viaje y me cobraron igual Yo cancele"""
"""fr""";"""Bonsoir j’aimerais savoir les documents à fournir début le yango cargo chez vous"""
"""es""";"""Buenas tardes he solicitado el servicio y pongo como instrucciones q llevo silla de ruedas!"""
"""uz""";"""men yandex ilovasidan muntazam foydalanuvchisiman va shafyor ajratishni va baho berishni bilaman"""
"""en""";"""Hi Can I get all my taxi receipts at once on my email"""
"""fr""";"""Le chauffeur refuse la prise en charge Il me demande d'annuler ma commande"""
"""ru""";"""Здравствуйте, за эту поездку я перевела таксисту на карту , у меня долг весит уже с начала года , уберите его уже"""
"""fr""";"""Bonjour"""
"""es""";"""Hola"""
"""sr""";"""Pozdrav, vozač je imao udes, tek kad smo krenuli, a naplaćeno mi je sa kartice Izašao sam iz vozila Proverite sa vozačem"""
"""tr""";"""Merhaba 50 tl bahsis isaretledim ama sistemde goremiyorum"""
"""pt""";"""T3 mangueira"""
"""ru""";"""Здравствуйте, заблокируите пожалуйста пасажира с заказа 148824. Не оплатил поездку, вёл себя агрессивно, угрожал и оскорблял"""
"""fr""";"""Bonjour.  J'ai commandé une course confort bien marquée confort à la commande  et à ma surprise le chauffeur me dit que c'est eco que j'ai pris. C'était écrit eco 1900 et confort 2000."""
"""es""";"""Buenos dias, me podría enviar de nuevo su número de yape, se borro el mensaje que le envíe anteriormente,  gracias"""
"""es""";"""Hola buena"""
"""en""";"""Hello Driver didn’t come and is lying about coming"""
"""en""";"""My friend lost his phone at Yango today. Namibia Windhoek. He don’t have his phone and no access to his SIM card. How he can check his Yango account to find this Yango driver? He tried to call his phone and it got off some time ago."""
"""es""";"""Cuando me responderán de mi rembolso No me ha llegado"""
"""ka""";"""გამარჯობა, უკაცრავად, ქეშზე როფოე გადავიყვანო, ბარათზე აე მაქვს თანხა"""
"""ru""";"""Здравствуйте, забыли телефон в машине, не могу связпться с водителем"""
"""es""";"""No tenia la placa estaba toda despintada, habia un auto de ese color pero sin los numeros correctos"""
"""en""";"""Driver is rude"""
"""en""";"""Hi"""
"""az""";"""Salam men bu taxiye minmemisem meni tapa bilmedi ama kartimdam 4.9 cixdir zehmet olmaaaa geri qaytarin 90YS268"""
"""en""";"""Hi sir i book texi i give my rent 50 hi sy I don’t have change and i will give 21 more butt hi not give 50 back and hi go"""
"""ru""";"""Здравствуйте, заказ стоит 543, списали 657 рублей, пишет, что точка высадки изменилась, но я вышел там где должен был"""
"""en""";"""Thank you soo much My issue is resolved"""
"""hy""";"""Բարև Ձեզ էս վերջին վարորդը չհասած սկսել տվեց , ու միամգամից ավարտ , 300դրամ գանձեց , հետ վերադարձնել ու նման վարորդներին բլոկել!!!!!!!"""
"""ru""";"""Здравствуйте, заказал такси в аэропорт, водитель попросил отменить, не ехал  Недоволен"""
"""ru""";"""Здравствуйте, заказал такси, а водитель стоит на месте не двигается, не отвечает на телефон  Очень неприятно за такое отношение, сделайте что нибудь"""
"""ru""";"""Здравствуйте, заказала такси он меня подождал, по времени незнаю но было 3000 на счетчике. Но на самом деле его не было на месте. Прошласьназад так как я прошла оказывается точки. Но водителя не было. Но звонки и оа сообщения в программе не реагировал. А с меня сняли деньги."""
"""other""";"""87770058051"""
"""es""";"""Lo vuelvo a scanear y sale eso Eso está trabado no lo puedo empujar hasta allá amigo"""
"""uz""";"""Ассалому алейкум. Таксида ID картамни тушириб қойган бўлишим мумкин, шуни билиб бероласизми"""
"""pt""";"""Preciso de um yango urgente"""
"""en""";"""Hi  I am really surprise  I used ur application first time  If i choose Cash WhY caRd Option not available . It should be OPTIOn either cash Or Card . 2nd for your informatION Taxi Driver charge Me 59 Aed  but at ur aapp showing lesss. Why there Is Difference  Due to non availIBITy I have Paid 90 aed .instead Of 48 AED.  I have paid the Airport parking as Welll. It IS uNfair.."""
"""fr""";"""Le conducteur n’a pas voulus tourné pour me pris en charge"""
"""uz""";"""Oxirgi zakazimdagi shafyorni nomerini berolismi"""
"""ka""";"""გამარჯობა,თანხა რომ დამიბრუნოთ"""
"""es""";"""Hola"""
"""hy""";"""barev dzez , Erek erebuni hivandanocic Seri opel e motikacel 37 370 Zarzand  anunov , ir hamarne petq"""
"""ru""";"""Здравствуйте, заказывал такси маме, в заказе оплата была указана картой, водитель попросил мою маму оплатить поездку наличкой, деньги списались и таксист сверху взял наличкой! Пожалуйста что нибудь сделай те!!!"""
"""es""";"""Me canceló en viaje con un paquete"""
"""ru""";"""здравствуйте, заказывала такси, вроде и водитель приехал, и я подошла к месту заказа, но там не было машины, не смогла найти водителя вообще, ни через дорогу, ни чуть ближе/дальше, не было вообще, хотя адрес был правильный и я подошла к месту подачи, пришлось отменить заказ, есть ли возможность осуществить возврат средств?"""
"""ru""";"""Здравствуйте, изначально оплата стояла по карте яндекс пэй, в водителя отобразилось наличными, по итогу за поездку пришлось дважды проводить оплату"""
"""es""";"""Hola"""
"""en""";"""Driver doesn't pick me. And he starts Rides. I called him on multiple times but doesn't acknowledge"""
"""en""";"""Hello so I arrived from in meanwwood ndeke from arcades, so now we went the entire trip but the driver forgot to start the ride and he realized right after we reached and it showed him k20 as the ride fair and now how do we solve the issue"""
"""ru""";"""Здравствуйте, каждый раз сталкиваюсь с этой проблемой, что водитель не отменяет поездку специально чтобы повысить прайс. Когда заказывал стоимость была 370 сомов, а смотрю там 500 сомов списалось. Верните средства и водителю огромный штраф"""
"""en""";"""Over payment"""
"""uz""";"""Haydovchi istoriya zakazni o’chirib yuborishi mumkinmi"""
"""tr""";"""Merhaba taksi ücretiniz pahalı geldi indirim kodunuz var mı"""
"""fr""";"""La coursen a jamais eu lieu Argent a ete preleve de min compte"""
"""ka""";"""Gamarjobat"""
"""hy""";"""Բարև ձեզ գումարը կարծես 2 անգամ է քաշել իմ քարտից"""
"""ru""";"""Здравствуйте, как заказать межгород сразу туда и обратно через 5 минут"""
"""uz""";"""Bu yerda taksiynib aybi emasku pragramma togri ishlamayabdi"""
"""fr""";"""Je veux suivre le courrier"""
"""fr""";"""Bonjour le livreur s'est trompé de destinataire pourtant c'était une commande Je connais pas le numéro Merci"""
"""es""";"""Bueno está bien gracias"""
"""he""";"""למה חוייבתי 18 שקל?? דיברתי עם הנהג ואמר שהייתה לו בעיה בוויז ולכן נאלץ לבטל, לא מעוניין לשלם על ביטול שקרה בגלל הנהג"""
"""en""";"""I have enough money in my card, but I can't pay because I don't have enough money. I'm trying to pay for this too, but I can't pay, and because of this, taxis are blocked from paying by card when travelling to other places. Yes Ok It keeps saying failed. Yes Are you solving it? I have to take a taxi early tomorrow, but when will the card be resolved? Do you know how much longer I have to wait? Is it going to take a long time? What's the problem? There's nothing wrong with using the card in other places, but the card keeps getting stuck only at Yandex? This also appears as unpaid, please check it."""
"""en""";"""Hello"""
"""uz""";"""Oddiy nomerlarini beroliszmi"""
"""hy""";"""Բարի օր, վերջին պատվերը ես վճարել եմ կանխիկով, քանի որ վարորդը ինտերնետի խնդիր ուներ, քարտից կանխիկի փոխել այդպես էլ չստացվեց, արդյունքում քարտիցս էլ է տարել"""
"""ru""";"""Здравствуйте, как повторить этот заказ в архиве поездок? Не нашел такой функции. Сам нахожусь в другом месте ,и хочу заказать завтра эту поездку для других людей"""
"""ka""";"""გამარჯობათ, სანამ მოვიდოდა კაი ადრე ჩართო ლოდინის რეჟიმი ამ მძღოლმა, ველოდეთ დანიშნულ ადგილას, გავიარ გამოვიარეთ არ ჩანდა არსად, მერე საერთოდ სხვა მხარეს წავიდა არც მობრუნებულა და თან წერდა ეს ლოდინი თავისას და მომიწია გაუქმება კიდე მეტი როარ დაეწერა სუარაფრის გამო"""
"""ru""";"""Здравствуйте, как связаться водителем?"""
"""uz""";"""Асаллому айлеким бизи этирозимиз бор сабаби такси ёш бола об келяткон пайта тохтаб 2минут телефонини котармади ва келиб ёзилган 13минг сом корсатканиди бе сабаб тохтаб 2минг ожидания ёздириб 15минг Олди муомила ва ёш бола борлигига ховотир олдик шунга сора коришларини ва бизга кайтиб бу одамди жонатмаслигди сораб коламиз"""
"""es""";"""He pedido dos veces el móvil en la IPS comfandi alameda... Y el punto se ubica al otro lado de la calle... De modo que yo me demoro casi 10 min en pasar y el carro 20 minutos en llegar al punto donde esto. Esto es un problema del GPS..voor más que lo corrijo se modifica al hacer el pedido"""
"""ru""";"""Здравствуйте, какой у меня рейтинг? Как пассажира"""
"""ru""";"""Здравствуйте, клиент при оплате протянул слишком большой номинал, не смог дать ему сдачи, пообещал что переведёт на карту. До сих пор ничего, не могли бы вы напомнить?"""
"""en""";"""He said he wont bring it I should go pick it up at your office because I involved you"""
"""ru""";"""Здравствуйте, когда заказывал такси цена стояла одна. После окончание поездки сняли в два раза больше"""
"""hy""";"""Կարո՞ղ եք խնդրեմ օգնել ինձ կապվել նրա հետ և ասել, որ վերադարձնի այն այս հասցեով։ Ես չեմ կարողանում կապ հաստատել նրա հետ։"""
"""en""";"""Price Price"""
"""ru""";"""Здравствуйте, кто-то заказывает такси с моего аккаунта но это точно ни я, и никто из моих близких"""
"""fr""";"""Hello Je veux signaler que je n'ai pas pris ce yango"""
"""ru""";"""Здравствуйте, машина подъехала и уехала. Заказ не отменил"""
"""en""";"""Refend the 300 birr to my telebirr account 0902458011"""
"""ru""";"""Здравствуйте, меня заблокировали в Яндекс драйве, можете востановить доступ пожалуйста, дать мне последний шанс, я исправлюсь"""
"""es""";"""Ya pague el viaje en efectivo"""
"""uz""";"""Darim qalip qoyipdi alo"""
"""ru""";"""Здравствуйте, мне дали доступ корпоративного такси, но у меня на аккаунте ничего нету, можете помочь с этой проблемой?"""
"""ru""";"""Здравствуйте, мне можно обратится к вам?"""
"""es""";"""Ola buen día no me rpeondes como puedo hablar con el"""
"""en""";"""Hi I accidentally rated my last driver a 3. It was a finger slip. Can you change it to 5 please"""
"""ru""";"""Здравствуйте, мне уже искренне стыдно писать, но вчера договорились сегодня забрать, но водитель скидывает трубку"""
"""en""";"""This yango driver still not send my money Please do something"""
"""ur""";"""Assalamoalaikum Mera ek bag reh gaya hai kindly bata saktay hai"""
"""uz""";"""Haydovchi meni sokyabdi"""
"""es""";"""Buenos días acabo de hacer un viaje del callao a San Isidro y me cobraron doble. Uno directo por internet y el otro le pagué en efectivo al mismo conductor Es de mi último viaje"""
"""en""";"""hey driver was not in the location I went towarfs him and even map showed he was close to me bit I could not find him also he did not answer my calls"""
"""ru""";"""Здравствуйте, могли бы вы отменить мне платное ожидание, у водителя заглючил телефон и он перезагрузил его"""
"""ka""";"""გამარჯობა"""
"""en""";"""Not drop us and complete ride And waste my promo code"""
"""es""";"""Pero que no me cobren en la app los 16 soles que no debería"""
"""en""";"""Hi"""
"""ru""";"""здравствуйте, могу я узнать по какой причине у меня долг в приложении такси? я нахожусь в другой стране и никакие поездки не совершала, в истории поездок заказано такси элит в москве и написано отменен, но я не совершала этот заказ"""
"""ru""";"""Здравствуйте, можете уточнить у водителя такси, которое заказано на мой номер где он? Он не отвечает на звонки и по картам он удаляется. Перезаказать такси я не могу, оно было заказано с корпоративного счета"""
"""ar""";"""Assalamu alaykum"""
"""ru""";"""Здравствуйте, можно ещё заказ сделать, для другого человека? Пока моя поездка не окончена, как это сделать?"""
"""ru""";"""Здравствуйте, можно ли заказать поездку заранее?"""
"""es""";"""ESTE VIAJE YA FUE PAGADO"""
"""ru""";"""Здравствуйте, мы заказали такси сегодня но получилось так, что пришлось отправить ноутбук без пассажира, и этот водитель после того как доехал до точки б, он завершил и уехал, сейчас я попросила его вернуть нам наш ноутбук, но он агрессивно начал ругаться и кричать на меня сказал что не привезет его обратно"""
"""ru""";"""Здравствуйте, на мне висит долг вы можете его убрать ? Я оплачивала водителю наличной оплатой , водитель попросил не переводить на карту  Сейчас на мне весит долг"""
"""ru""";"""Здравствуйте, на улице ураган, водитель уже приехал, я вышла к нему, он уехал и отменил поездку, пришлось вызвать другое такси, ждать опять долго, и поездка еще дороже стала, теперь придётся стоять на улице в ураган и ждать другое такси, отвратительно, ужасный водитель"""
"""ru""";"""Здравствуйте, не могли бы вы предупредить водителя что в машине воняет сильным запахом запотевшей одежды, и чтобы во время езды он не закидывал нос, а дождался конца поездки когда сзади не будет пассажира?"""
"""ru""";"""Здравствуйте, не могу найти свой рейтинг в такси, подскажите где искать?"""
"""fr""";"""Le conduiteur n'est pas courtois"""
"""fr""";"""Merci bcp habiba"""
"""fr""";"""Votre chauffeur d’hier était très mal polie"""
"""ru""";"""здравствуйте, не получается подтвердить способ оплаты"""
"""ur""";"""Raider ne 400 lae hy show muj 117 hoe hy"""
"""en""";"""Hello my driver did not ask me for extra money, I accidentally hit yet while trying to switch screens *yes"""
"""fr""";"""Bonjour à nouveau, le service client. Le chauffeur a refusé d'accepter que j'aie utilisé le code promo pour la course et a insisté pour que je lui donne plus d'argent. Et il n'arrêtait pas de me dire que j'aurais dû lui dire qu'il ne recevrait pas de monnaie en espèces, et il m'a dit que si je le lui avais dit, je n'aurais pas du tout fait le trajet avec lui."""
"""fr""";"""Yango vous exagerez, le chauffeur est à la mauvaise adresse, j'annule la commande et vous augmentez ma course Est ce ma faute ? Pas d'urgence"""
"""az""";"""Salam 30 aprel tarixinde taksi sipariş vurdm quliyev vusal vagif oglu pirofili altnda bir xanm geldi dolandrci onu mənə tapa bilersz"""
"""ru""";"""Здравствуйте, не поняла почему поставили в долг, и списали балы 😡 прошу убрать долг"""
"""ru""";"""здравствуйте, не удается изменить оплату на наличные, почему?"""
"""uz""";"""ассалому алейкум"""
"""az""";"""Salam,77 yq 345 qəbul edir gəlb çatannam sora deirki uzağdı gedə bilmərəm Mən niyə boş yerə gözləməliyəm"""
"""ru""";"""Здравствуйте, объясните пожалуйста - когда делал заказ по времени , цена было 1080 а вышло 1650"""
"""uz""";"""Menga bu obuna kerak emas iltimos buni bekor qilishingizni so'rayman"""
"""en""";"""I've never been in this bike Drive left without me and finished the ride Issue was not resolved"""
"""ru""";"""Здравствуйте, он до сих пор не вернул мне мои 200 AMD. ?"""
"""ru""";"""Здравствуйте, оплата была наличкой"""
"""ru""";"""Здравствуйте, оплатила наличными, сейчас увидела что оплата была указана картой и из карты деньги тоже списались"""
"""ru""";"""Здравствуйте, откуда у меня долг если я не поехала а отменила из за того что не смогла найти где находился таксист"""
"""az""";"""Salam çixilan bexsisi geri qaytarin zehmet olmasa öz özüne cixdi"""
"""en""";"""Hello. You didn't come to the university and I had to take another taxi. I saw that you charged me for the ride and it wasn't my drive. Please help"""
"""ka""";"""გამარჯობა"""
"""es""";"""señor(a)                                                                  support                                                reciba un cordial saludo:usted ha recibido un correo electrónico seguro y certificado de parte de secretaria general alcaldia mayor de bogota, quien ha depositado su confianza en el servicio de notificación electrónica certificada (nec) de servicios postales nacionales s.a.s para hacer efectiva y oportuna la entrega de la presente notificación electrónica.                                                                 con la recepción del presente mensaje de datos se entiende que el destinatario ha sido notificado para todos los efectos según las normas aplicables vigentes, especialmente los artículos 12 y 20 la ley 527 de 1999 y sus normas reglamentarias.nota: para leer el contenido del mensaje recibido, usted debe hacer click en el enlace que se muestra a continuación:                                                                                                                                                                                                 ver contenido del correo electrónico enviado por secretaria general alcaldia mayor de bogota                                                                                    correo seguro y certificado.copyright © 2026servicios postales nacionales s.a.s.todos los derechos reservados.¿no desea recibir más correos certificados?importante: por favor no responder este mensaje, este servicio es únicamente para notificación electrónica.[created via e-mail received from: administradorsiga@alcaldiabogota.gov.co]"""
"""ro""";"""Bună ziua"""
"""uz""";"""Пул картага тушадими кайтиб"""
"""fr""";"""Ce chauffeur est très impolie et désagréable,  on était très mal a l'aise dans la voiture.  Veillez ne plus jamais me donner cette commande svp"""
"""ru""";"""здравствуйте, очень хочу пожаловаться на водителя  по этому закажу прибыл другой водитель, приложу фотографию машины  грубил , обзывал ,испортил настроение за 5 минут поездки мало того что я согласилась сесть в машину , которая не зарегистрирована на него"""
"""uz""";"""Assalomu alaykum"""
"""en""";"""Than you"""
"""ru""";"""Здравствуйте, пассажир находится в машине, и сел в нее до начала времени ожидания, просто у водителя не работает интернет, попрошу вас не снимать плату за ожидание с карты"""
"""es""";"""Buenas tardes"""
"""ru""";"""Здравствуйте, переделайте заказ на карту пожалуйста"""
"""en""";"""Good evening, can I schedule a ride for tomorrow early morning?"""
"""pt""";"""Pela primeira vez apanhei um motorista antipático e rude até. Chegou mal disposto, foi desagradável nos comentários. Formação em Serviço ao Cliente urgente!"""
"""he""";"""‏שכחתי מעיל באוטו!!!!!"""
"""ru""";"""Здравствуйте, подскажите пожалуйста, в класс комфорт входит кондиционер?"""
"""uz""";"""Menga mini Ven kerak qaysi tarifda bor"""
"""hy""";"""Բարև ձեզ , վարորդի հետ չկարողացա կապնվել , կարող ենք ճշտել մեքենայում հոռախոս ենք թողել թե ոչ ?"""
"""en""";"""OK, thank you very much. Please refund the fee we have deducted as soon as possible. We want to know when we will receive the refund."""
"""ru""";"""Здравствуйте, пожалуйста включите нам на нашем кабинете доступ к API для настройки выплат водителям.   park_id 05faa2aecb4c48998bd323b74f14634f Включите нам пожалуйста доступ к разделу api     --   Отправлено из мобильной Яндекс Почты    **Кому:** jet360@yandex.com <jet360@yandex.com>;   **Тема:** Включение доступа к разделу API;   13.05.2026, 17:52, \\\""api-taxi@yandex-team.ru\\\"" <api-taxi@yandex-team.ru>:   > Здравствуйте!   > Партнёры, которые интегрируют Диспетчерскую с другими сервисами, могут создавать API-ключи и управлять ими, не обращаясь в техподдержку. Включить интеграцию можно в разделе <<Настройки>> → <<API>>.   > > API позволяет настроить обмен информацией между Диспетчерской Яндекс Про и другими сервисами, с которыми вы работаете.   > > С помощью API можно:   > >  > > 1. Заводить, редактировать и выгружать информацию по водителям, курьерам и автомобилям и использовать данные для собственных отчётов > > 2. Настраивать выплаты и списания с баланса Яндекс Про > > 3. Настраивать использование данных из Диспетчерской, чтобы автоматизировать работу таксопарка > >  > > Подробнее на сайте: parks.yandex/ru-ru/moskva/knowledge-base/disp/settings/api   > > Здравствуйте, пожалуйста включите нам на нашем кабинете доступ к API для настройки выплат водителям.   > > park_id 05faa2aecb4c48998bd323b74f14634f Здравствуйте мы отправили Диспетчерский интерфейс но там к сожалению нам не помогли    --   Отправлено из мобильной Яндекс Почты    **Кому:** jet360@yandex.com <jet360@yandex.com>;   **Тема:** Включение доступа к разделу API;   14.05.2026, 09:04, \\\""Support\\\"" <api-taxi@yandex-team.ru>:   > Чтобы мы могли оперативно вам помочь, пожалуйста, отправьте обращение через диспетчерский интерфейс.   > > Так ваш вопрос сразу попадёт к нужному специалисту и будет рассмотрен быстрее.   > > Включите нам пожалуйста доступ к разделу api    > > > > --   > > Отправлено из мобильной Яндекс Почты   > > > > **Кому:** [jet360@yandex.com](mailto:jet360@yandex.com) <[jet360@yandex.com](mailto:jet360@yandex.com)>;   > > **Тема:** Включение доступа к разделу API;   > > 13.05.2026, 17:52, \\\""[api-taxi@yandex-team.ru](mailto:api-taxi@yandex-team.ru)\\\"" <[api-taxi@yandex-team.ru](mailto:api-taxi@yandex-team.ru)>:   > > > Здравствуйте!   > > > Партнёры, которые интегрируют Диспетчерскую с другими сервисами, могут создавать API-ключи и управлять ими, не обращаясь в техподдержку. Включить интеграцию можно в разделе <<Настройки>> → <<API>>.   > > > > > > API позволяет настроить обмен информацией между Диспетчерской Яндекс Про и другими сервисами, с которыми вы работаете.   > > > > > > С помощью API можно:   > > > > > >  > > > > > > 1. Заводить, редактировать и выгружать информацию по водителям, курьерам и автомобилям и использовать данные для собственных отчётов > > > > > > 2. Настраивать выплаты и списания с баланса Яндекс Про > > > > > > 3. Настраивать использование данных из Диспетчерской, чтобы автоматизировать работу таксопарка > > > > > >  > > > > > > Подробнее на сайте: parks.yandex/ru-ru/moskva/knowledge-base/disp/settings/api   > > > > Здравствуйте, пожалуйста включите нам на нашем кабинете доступ к API для настройки выплат водителям.   > > > > park_id 05faa2aecb4c48998bd323b74f14634f"""
"""ka""";"""როდის უნდა ასწავლოთ თქვენს მძღოლებს რომ მგზავრი არ დატოვონ ქუჩაში, უკვე მერამდენედ??? სირცხვილი და ნამუსი რომ არ აქვთ ონკო პაციენტი დატოვა ქუჩაში. ამიუწყდეს  ოჯახი ონკოლოგიურში"""
